사용본거지법정동명,동별 총 대수,휘발유,경유,엘피지,전기,휘발유(유연),휘발유(무연),CNG,"하이브리드
(휘발유+전기)","하이브리드
(경유+전기)","하이브리드
(LPG+전기)","하이브리드
(CNG+전기)",수소,기타연료
서울특별시 강남구 세곡동,"5,815 ","1,244 ","2,024 ",560 ,47 ,6 ,"1,606 ",19 ,276 ,7 ,6 ,,5 ,15 
서울특별시 강남구 자곡동,"8,605 ","2,063 ","2,578 ",731 ,82 ,1 ,"2,646 ",,463 ,6 ,7 ,,10 ,18 
서울특별시 강남구 율현동,"4,394 ",896 ,"1,549 ",566 ,21 ,1 ,"1,225 ",,121 ,6 ,1 ,,1 ,7 
서울특별시 강남구 일원동,"14,748 ","3,549 ","3,769 ","2,047 ",127 ,9 ,"4,400 ",5 ,796 ,7 ,7 ,,22 ,10 
서울특별시 강남구 수서동,"8,293 ","2,025 ","2,436 ",779 ,56 ,1 ,"2,495 ",1 ,476 ,6 ,5 ,,6 ,7 
서울특별시 강남구 도곡동,"22,707 ","7,943 ","6,247 ",520 ,209 ,6 ,"6,372 ",5 ,"1,227 ",22 ,3 ,,23 ,130 
서울특별시 송파구 잠실동,"36,859 ","11,240 ","10,167 ","1,470 ",273 ,17 ,"11,575 ",10 ,"1,954 ",37 ,12 ,,19 ,85 
서울특별시 송파구 신천동,"22,749 ","4,195 ","12,463 ",448 ,160 ,4 ,"4,581 ",15 ,783 ,11 ,11 ,,8 ,70 
서울특별시 송파구 풍납동,"12,271 ","2,565 ","3,950 ","1,212 ",71 ,3 ,"3,898 ",5 ,528 ,2 ,2 ,,13 ,22 
서울특별시 송파구 송파동,"14,525 ","3,342 ","4,916 ",910 ,75 ,5 ,"4,591 ",,629 ,10 ,10 ,,11 ,26 
서울특별시 송파구 석촌동,"10,057 ","2,179 ","3,587 ",785 ,55 ,4 ,"3,058 ",2 ,360 ,3 ,8 ,,4 ,12 
서울특별시 송파구 삼전동,"9,049 ","1,894 ","3,058 ",777 ,55 ,3 ,"2,917 ",2 ,299 ,1 ,4 ,,6 ,33 
서울특별시 송파구 가락동,"35,043 ","7,887 ","11,736 ","2,264 ",238 ,20 ,"10,957 ",6 ,"1,766 ",19 ,18 ,,26 ,106 
서울특별시 송파구 문정동,"29,434 ","6,580 ","10,690 ","1,423 ",186 ,10 ,"9,036 ",11 ,"1,370 ",37 ,8 ,,21 ,62 
서울특별시 송파구 장지동,"17,061 ","3,141 ","5,050 ","2,366 ",156 ,8 ,"4,724 ",661 ,856 ,17 ,10 ,4 ,10 ,58 
서울특별시 송파구 방이동,"21,407 ","5,368 ","6,912 ","1,115 ",126 ,9 ,"6,697 ",3 ,"1,083 ",18 ,17 ,,15 ,44 
서울특별시 송파구 오금동,"13,934 ","2,959 ","4,900 ",977 ,76 ,7 ,"4,337 ",10 ,625 ,6 ,3 ,,12 ,22 
서울특별시 송파구 거여동,"11,876 ","2,277 ","4,168 ","1,010 ",61 ,4 ,"3,880 ",3 ,433 ,6 ,8 ,,9 ,17 
서울특별시 송파구 마천동,"11,809 ","1,897 ","4,540 ","1,579 ",69 ,4 ,"3,288 ",104 ,291 ,2 ,9 ,,6 ,20 
서울특별시 강동구 명일동,"14,174 ","3,126 ","4,329 ",960 ,83 ,3 ,"4,923 ",8 ,690 ,6 ,6 ,,13 ,27 
서울특별시 강동구 고덕동,"16,687 ","3,796 ","5,502 ",959 ,143 ,5 ,"5,275 ",2 ,919 ,8 ,6 ,,25 ,47 
서울특별시 강동구 상일동,"16,875 ","3,716 ","5,326 ","1,066 ",150 ,11 ,"5,542 ",6 ,956 ,18 ,10 ,,34 ,40 
서울특별시 강동구 길동,"15,896 ","2,812 ","5,373 ","2,556 ",124 ,8 ,"4,461 ",2 ,507 ,6 ,10 ,,9 ,28 
서울특별시 강동구 둔촌동,"8,664 ","1,698 ","3,030 ",835 ,40 ,,"2,696 ",2 ,337 ,2 ,3 ,,6 ,15 
서울특별시 강동구 암사동,"21,686 ","4,362 ","7,336 ","1,884 ",105 ,9 ,"6,970 ",5 ,931 ,16 ,10 ,,16 ,42 
서울특별시 강동구 성내동,"22,186 ","4,057 ","8,047 ","2,171 ",155 ,9 ,"6,884 ",15 ,760 ,6 ,7 ,,28 ,47 
서울특별시 강동구 천호동,"25,879 ","4,846 ","9,668 ","2,553 ",131 ,12 ,"7,728 ",5 ,838 ,11 ,13 ,,23 ,51 
서울특별시 강동구 강일동,"10,528 ","1,862 ","3,557 ","1,291 ",98 ,1 ,"3,107 ",185 ,372 ,4 ,9 ,2 ,17 ,23 
